episode,epoch,cloud_remaining_units,agent0_comp_units,agent0_channel_quality,agent0_remain_epochs,agent0_power,agent0_action,agent0_reward,agent0_mec_comp_unit_0,agent0_mec_comp_unit_1,agent0_mec_comp_unit_2,agent0_mec_comp_unit_3,agent0_mec_comp_unit_4,agent0_mec_comp_unit_5,agent0_mec_comp_unit_6,agent0_mec_comp_unit_7,agent0_mec_comp_unit_8,agent0_mec_comp_unit_9,agent1_comp_units,agent1_channel_quality,agent1_remain_epochs,agent1_power,agent1_action,agent1_reward,agent1_mec_comp_unit_0,agent1_mec_comp_unit_1,agent1_mec_comp_unit_2,agent1_mec_comp_unit_3,agent1_mec_comp_unit_4,agent1_mec_comp_unit_5,agent1_mec_comp_unit_6,agent1_mec_comp_unit_7,agent1_mec_comp_unit_8,agent1_mec_comp_unit_9,agent2_comp_units,agent2_channel_quality,agent2_remain_epochs,agent2_power,agent2_action,agent2_reward,agent2_mec_comp_unit_0,agent2_mec_comp_unit_1,agent2_mec_comp_unit_2,agent2_mec_comp_unit_3,agent2_mec_comp_unit_4,agent2_mec_comp_unit_5,agent2_mec_comp_unit_6,agent2_mec_comp_unit_7,agent2_mec_comp_unit_8,agent2_mec_comp_unit_9,agent3_comp_units,agent3_channel_quality,agent3_remain_epochs,agent3_power,agent3_action,agent3_reward,agent3_mec_comp_unit_0,agent3_mec_comp_unit_1,agent3_mec_comp_unit_2,agent3_mec_comp_unit_3,agent3_mec_comp_unit_4,agent3_mec_comp_unit_5,agent3_mec_comp_unit_6,agent3_mec_comp_unit_7,agent3_mec_comp_unit_8,agent3_mec_comp_unit_9,agent4_comp_units,agent4_channel_quality,agent4_remain_epochs,agent4_power,agent4_action,agent4_reward,agent4_mec_comp_unit_0,agent4_mec_comp_unit_1,agent4_mec_comp_unit_2,agent4_mec_comp_unit_3,agent4_mec_comp_unit_4,agent4_mec_comp_unit_5,agent4_mec_comp_unit_6,agent4_mec_comp_unit_7,agent4_mec_comp_unit_8,agent4_mec_comp_unit_9
81,1,80,0,0,8,8.5,1,-0.2,10,4,2,7,10,10,2,1,0,0,50,1,8,8.0,1,0.8,1,1,6,9,10,1,5,9,0,0,40,0,8,9.0,0,0.9,8,1,8,1,5,8,6,9,0,0,99,0,8,8.5,1,-0.2,1,10,10,3,1,3,2,2,0,0,83,0,8,9.0,0,7.9,1,4,1,1,4,2,3,9,0,0
81,2,77,0,0,7,8.0,0,-0.2,4,2,7,10,10,2,1,0,0,0,50,1,7,7.0,1,0.8,1,6,9,10,1,5,9,0,0,0,32,0,7,8.5,0,7.9,1,8,1,5,8,6,9,0,0,0,99,1,7,7.5,1,-0.2,10,10,3,1,3,2,2,0,0,0,83,1,7,8.0,1,-0.2,4,1,1,4,2,3,9,0,0,0
81,3,62,0,0,6,7.5,0,-0.2,2,7,10,10,2,1,0,0,0,0,50,0,6,6.0,1,0.8,6,9,10,1,5,9,0,0,0,0,31,0,6,8.0,0,0.9,8,1,5,8,6,9,0,0,0,0,99,0,6,6.5,1,9.8,10,3,1,3,2,2,0,0,0,0,83,1,6,7.0,1,3.8,1,1,4,2,3,9,0,0,0,0
81,4,48,0,0,5,7.0,0,-0.2,7,10,10,2,1,0,0,0,0,0,50,0,5,5.0,1,-0.2,9,10,1,5,9,0,0,0,0,0,31,1,5,7.0,1,-0.2,1,5,8,6,9,0,0,0,0,0,89,1,5,6.0,0,9.9,3,1,3,2,2,0,0,0,0,0,82,1,5,6.5,0,0.9,1,4,2,3,9,0,0,0,0,0
81,5,38,0,0,4,6.0,1,-0.2,10,10,2,1,0,0,0,0,0,0,41,0,4,4.5,0,8.9,10,1,5,9,0,0,0,0,0,0,30,1,4,6.5,0,0.9,5,8,6,9,0,0,0,0,0,0,89,1,4,5.0,1,2.8,1,3,2,2,0,0,0,0,0,0,81,1,4,6.0,0,0.9,4,2,3,9,0,0,0,0,0,0
81,6,27,0,0,3,5.0,1,-0.2,10,2,1,0,0,0,0,0,0,0,31,0,3,4.0,0,9.9,1,5,9,0,0,0,0,0,0,0,25,1,3,6.0,0,4.9,8,6,9,0,0,0,0,0,0,0,89,1,3,4.0,1,0.8,3,2,2,0,0,0,0,0,0,0,77,1,3,5.5,0,3.9,2,3,9,0,0,0,0,0,0,0
81,7,15,0,0,2,4.5,0,-0.2,2,1,0,0,0,0,0,0,0,0,31,0,2,3.0,1,-0.2,5,9,0,0,0,0,0,0,0,0,25,0,2,5.0,1,7.8,6,9,0,0,0,0,0,0,0,0,89,1,2,3.0,1,2.8,2,2,0,0,0,0,0,0,0,0,75,0,2,5.0,0,1.9,3,9,0,0,0,0,0,0,0,0
81,8,11,0,0,1,3.5,1,-0.2,1,0,0,0,0,0,0,0,0,0,26,1,1,2.5,0,4.9,9,0,0,0,0,0,0,0,0,0,19,0,1,4.5,0,5.9,9,0,0,0,0,0,0,0,0,0,89,1,1,2.0,1,1.8,2,0,0,0,0,0,0,0,0,0,72,0,1,4.5,0,2.9,9,0,0,0,0,0,0,0,0,0
81,9,0,0,0,0,2.5,1,-0.2,0,0,0,0,0,0,0,0,0,0,17,1,0,2.0,0,8.9,0,0,0,0,0,0,0,0,0,0,10,0,0,4.0,0,8.9,0,0,0,0,0,0,0,0,0,0,89,1,0,1.0,1,1.8,0,0,0,0,0,0,0,0,0,0,72,0,0,3.5,1,-0.2,0,0,0,0,0,0,0,0,0,0
82,0,87,0,1,9,9.5,0,9.9,6,7,10,8,1,4,5,2,1,0,42,1,9,9.5,0,7.9,6,5,9,2,10,8,10,9,1,0,50,1,9,9.0,1,6.8,8,3,4,3,7,9,3,6,8,0,100,0,9,9.0,1,-0.2,2,7,2,2,2,1,1,7,5,0,97,1,9,9.5,0,2.9,1,10,6,1,9,2,1,7,6,0
82,1,80,0,1,8,8.5,1,0.0,7,10,8,1,4,5,2,1,0,0,36,1,8,9.0,0,5.9,5,9,2,10,8,10,9,1,0,0,42,1,8,8.5,0,7.9,3,4,3,7,9,3,6,8,0,0,98,0,8,8.5,0,1.9,7,2,2,2,1,1,7,5,0,0,97,1,8,8.5,1,0.8,10,6,1,9,2,1,7,6,0,0
82,2,55,0,1,7,7.5,1,0.0,10,8,1,4,5,2,1,0,0,0,36,1,7,8.0,1,4.8,9,2,10,8,10,9,1,0,0,0,42,1,7,7.5,1,2.8,4,3,7,9,3,6,8,0,0,0,91,0,7,8.0,0,6.9,2,2,2,1,1,7,5,0,0,0,97,1,7,7.5,1,9.8,6,1,9,2,1,7,6,0,0,0
82,3,43,0,1,6,7.0,0,-0.2,8,1,4,5,2,1,0,0,0,0,27,1,6,7.5,0,8.9,2,10,8,10,9,1,0,0,0,0,42,1,6,6.5,1,3.8,3,7,9,3,6,8,0,0,0,0,91,0,6,7.0,1,-0.2,2,2,1,1,7,5,0,0,0,0,97,0,6,6.5,1,5.8,1,9,2,1,7,6,0,0,0,0
82,4,37,0,1,5,6.5,0,-0.2,1,4,5,2,1,0,0,0,0,0,27,1,5,6.5,1,1.8,10,8,10,9,1,0,0,0,0,0,42,1,5,5.5,1,2.8,7,9,3,6,8,0,0,0,0,0,89,0,5,6.5,0,1.9,2,1,1,7,5,0,0,0,0,0,97,0,5,5.5,1,-0.2,9,2,1,7,6,0,0,0,0,0
82,5,27,0,1,4,5.5,1,0.0,4,5,2,1,0,0,0,0,0,0,17,0,4,6.0,0,9.9,8,10,9,1,0,0,0,0,0,0,42,1,4,4.5,1,6.8,9,3,6,8,0,0,0,0,0,0,89,0,4,5.5,1,-0.2,1,1,7,5,0,0,0,0,0,0,88,1,4,5.0,0,8.9,2,1,7,6,0,0,0,0,0,0
82,6,17,0,1,3,5.0,0,-0.2,5,2,1,0,0,0,0,0,0,0,17,1,3,5.0,1,-0.2,10,9,1,0,0,0,0,0,0,0,33,0,3,4.0,0,8.9,3,6,8,0,0,0,0,0,0,0,88,0,3,5.0,0,0.9,1,7,5,0,0,0,0,0,0,0,88,1,3,4.0,1,1.8,1,7,6,0,0,0,0,0,0,0
82,7,12,0,1,2,4.5,0,-0.2,2,1,0,0,0,0,0,0,0,0,7,1,2,4.5,0,9.9,9,1,0,0,0,0,0,0,0,0,33,0,2,3.0,1,-0.2,6,8,0,0,0,0,0,0,0,0,88,0,2,4.0,1,-0.2,7,5,0,0,0,0,0,0,0,0,88,1,2,3.0,1,0.8,7,6,0,0,0,0,0,0,0,0
82,8,12,0,1,1,4.0,0,-0.2,1,0,0,0,0,0,0,0,0,0,0,1,1,4.0,0,-0.2,1,0,0,0,0,0,0,0,0,0,27,0,1,2.5,0,5.9,8,0,0,0,0,0,0,0,0,0,81,0,1,3.5,0,6.9,5,0,0,0,0,0,0,0,0,0,81,0,1,2.5,0,6.9,6,0,0,0,0,0,0,0,0,0
82,9,0,0,1,0,3.0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,-0.2,0,0,0,0,0,0,0,0,0,0,27,0,0,1.5,1,-0.2,0,0,0,0,0,0,0,0,0,0,81,0,0,2.5,1,-0.2,0,0,0,0,0,0,0,0,0,0,81,0,0,1.5,1,-0.2,0,0,0,0,0,0,0,0,0,0
83,0,88,2,1,9,9.5,0,7.9,9,7,3,1,4,6,3,1,6,0,50,0,9,9.0,1,-0.2,9,1,6,1,7,3,6,7,1,0,49,1,9,9.5,0,0.9,5,6,9,1,4,10,8,10,9,0,100,0,9,9.0,1,-0.2,2,4,2,1,3,7,1,2,1,0,100,1,9,9.0,1,-0.2,5,8,3,7,8,6,7,2,8,0
83,1,76,0,1,8,9.0,0,-0.2,7,3,1,4,6,3,1,6,0,0,41,0,8,8.5,0,8.9,1,6,1,7,3,6,7,1,0,0,49,1,8,8.5,1,4.8,6,9,1,4,10,8,10,9,0,0,100,1,8,8.0,1,-0.2,4,2,1,3,7,1,2,1,0,0,100,1,8,8.0,1,4.8,8,3,7,8,6,7,2,8,0,0
83,2,64,0,1,7,8.0,1,0.0,3,1,4,6,3,1,6,0,0,0,41,1,7,7.5,1,-0.2,6,1,7,3,6,7,1,0,0,0,43,1,7,8.0,0,5.9,9,1,4,10,8,10,9,0,0,0,100,1,7,7.0,1,3.8,2,1,3,7,1,2,1,0,0,0,92,1,7,7.5,0,7.9,3,7,8,6,7,2,8,0,0,0
83,3,62,0,1,6,7.5,0,-0.2,1,4,6,3,1,6,0,0,0,0,35,1,6,7.0,0,5.9,1,7,3,6,7,1,0,0,0,0,34,0,6,7.5,0,8.9,1,4,10,8,10,9,0,0,0,0,100,1,6,6.0,1,1.8,1,3,7,1,2,1,0,0,0,0,89,0,6,7.0,0,2.9,7,8,6,7,2,8,0,0,0,0
83,4,53,0,1,5,7.0,0,-0.2,4,6,3,1,6,0,0,0,0,0,35,1,5,6.0,1,0.8,7,3,6,7,1,0,0,0,0,0,33,0,5,7.0,0,0.9,4,10,8,10,9,0,0,0,0,0,100,1,5,5.0,1,0.8,3,7,1,2,1,0,0,0,0,0,89,0,5,6.0,1,-0.2,8,6,7,2,8,0,0,0,0,0
83,5,46,0,1,4,6.0,1,0.0,6,3,1,6,0,0,0,0,0,0,28,1,4,5.5,0,6.9,3,6,7,1,0,0,0,0,0,0,29,0,4,6.5,0,3.9,10,8,10,9,0,0,0,0,0,0,100,1,4,4.0,1,2.8,7,1,2,1,0,0,0,0,0,0,81,0,4,5.5,0,7.9,6,7,2,8,0,0,0,0,0,0
83,6,37,0,1,3,5.0,1,0.0,3,1,6,0,0,0,0,0,0,0,28,1,3,4.5,1,2.8,6,7,1,0,0,0,0,0,0,0,19,0,3,6.0,0,9.9,8,10,9,0,0,0,0,0,0,0,93,1,3,3.5,0,6.9,1,2,1,0,0,0,0,0,0,0,75,0,3,5.0,0,5.9,7,2,8,0,0,0,0,0,0,0
83,7,26,0,1,2,4.0,1,0.0,1,6,0,0,0,0,0,0,0,0,22,1,2,4.0,0,5.9,7,1,0,0,0,0,0,0,0,0,11,0,2,5.5,0,7.9,10,9,0,0,0,0,0,0,0,0,93,1,2,2.5,1,0.8,2,1,0,0,0,0,0,0,0,0,75,0,2,4.0,1,-0.2,2,8,0,0,0,0,0,0,0,0
83,8,14,0,1,1,3.0,1,0.0,6,0,0,0,0,0,0,0,0,0,22,1,1,3.0,1,6.8,1,0,0,0,0,0,0,0,0,0,1,0,1,5.0,0,9.9,9,0,0,0,0,0,0,0,0,0,93,1,1,1.5,1,1.8,1,0,0,0,0,0,0,0,0,0,75,0,1,3.0,1,-0.2,8,0,0,0,0,0,0,0,0,0
83,9,0,0,1,0,2.0,1,0.0,0,0,0,0,0,0,0,0,0,0,21,1,0,2.5,0,0.9,0,0,0,0,0,0,0,0,0,0,1,0,0,4.0,1,-0.2,0,0,0,0,0,0,0,0,0,0,93,1,0,0.5,1,0.0,0,0,0,0,0,0,0,0,0,0,67,0,0,2.5,0,7.9,0,0,0,0,0,0,0,0,0,0
84,0,91,10,1,9,9.0,1,0.8,9,6,4,4,3,7,3,2,10,0,42,0,9,9.5,0,7.9,4,8,1,5,9,1,4,6,10,0,50,0,9,9.0,1,7.8,3,5,7,1,7,8,8,9,6,0,94,0,9,9.5,0,5.9,2,3,4,4,8,1,10,4,4,0,99,1,9,9.5,0,0.9,3,5,6,9,9,9,1,9,8,0
84,1,89,1,1,8,8.5,0,8.9,6,4,4,3,7,3,2,10,0,0,38,0,8,9.0,0,3.9,8,1,5,9,1,4,6,10,0,0,47,0,8,8.5,0,2.9,5,7,1,7,8,8,9,6,0,0,94,1,8,8.5,1,-0.2,3,4,4,8,1,10,4,4,0,0,96,0,8,9.0,0,2.9,5,6,9,9,9,1,9,8,0,0
84,2,76,0,1,7,8.0,0,-0.2,4,4,3,7,3,2,10,0,0,0,38,0,7,8.0,1,-0.2,1,5,9,1,4,6,10,0,0,0,42,0,7,8.0,0,4.9,7,1,7,8,8,9,6,0,0,0,91,1,7,8.0,0,2.9,4,4,8,1,10,4,4,0,0,0,96,0,7,8.0,1,-0.2,6,9,9,9,1,9,8,0,0,0
84,3,68,0,1,6,7.0,1,0.0,4,3,7,3,2,10,0,0,0,0,37,0,6,7.5,0,0.9,5,9,1,4,6,10,0,0,0,0,35,0,6,7.5,0,6.9,1,7,8,8,9,6,0,0,0,0,91,1,6,7.0,1,3.8,4,8,1,10,4,4,0,0,0,0,90,0,6,7.5,0,5.9,9,9,9,1,9,8,0,0,0,0
84,4,51,0,1,5,6.0,1,0.0,3,7,3,2,10,0,0,0,0,0,32,1,5,7.0,0,4.9,9,1,4,6,10,0,0,0,0,0,34,0,5,7.0,0,0.9,7,8,8,9,6,0,0,0,0,0,91,1,5,6.0,1,3.8,8,1,10,4,4,0,0,0,0,0,90,0,5,6.5,1,-0.2,9,9,1,9,8,0,0,0,0,0
84,5,31,0,1,4,5.0,1,0.0,7,3,2,10,0,0,0,0,0,0,23,1,4,6.5,0,8.9,1,4,6,10,0,0,0,0,0,0,27,1,4,6.5,0,6.9,8,8,9,6,0,0,0,0,0,0,91,1,4,5.0,1,7.8,1,10,4,4,0,0,0,0,0,0,90,0,4,5.5,1,-0.2,9,1,9,8,0,0,0,0,0,0
84,6,24,0,1,3,4.0,1,0.0,3,2,10,0,0,0,0,0,0,0,22,0,3,6.0,0,0.9,4,6,10,0,0,0,0,0,0,0,19,1,3,6.0,0,7.9,8,9,6,0,0,0,0,0,0,0,90,1,3,4.5,0,0.9,10,4,4,0,0,0,0,0,0,0,81,0,3,5.0,0,8.9,1,9,8,0,0,0,0,0,0,0
84,7,11,0,1,2,3.0,1,0.0,2,10,0,0,0,0,0,0,0,0,18,0,2,5.5,0,3.9,6,10,0,0,0,0,0,0,0,0,11,1,2,5.5,0,7.9,9,6,0,0,0,0,0,0,0,0,90,1,2,3.5,1,9.8,4,4,0,0,0,0,0,0,0,0,80,0,2,4.5,0,0.9,9,8,0,0,0,0,0,0,0,0
84,8,0,0,1,1,2.0,1,0.0,10,0,0,0,0,0,0,0,0,0,12,0,1,5.0,0,5.9,10,0,0,0,0,0,0,0,0,0,11,0,1,4.5,1,8.8,6,0,0,0,0,0,0,0,0,0,90,1,1,2.5,1,0.0,4,0,0,0,0,0,0,0,0,0,80,0,1,3.5,1,-0.2,8,0,0,0,0,0,0,0,0,0
84,9,0,0,1,0,1.0,1,0.0,0,0,0,0,0,0,0,0,0,0,2,0,0,4.5,0,9.9,0,0,0,0,0,0,0,0,0,0,5,0,0,4.0,0,5.9,0,0,0,0,0,0,0,0,0,0,90,1,0,1.5,1,0.0,0,0,0,0,0,0,0,0,0,0,72,0,0,3.0,0,7.9,0,0,0,0,0,0,0,0,0,0
85,0,97,10,0,9,9.0,1,-0.2,7,6,10,9,9,2,7,5,6,0,50,0,9,9.0,1,0.8,7,6,4,1,9,4,2,8,2,0,45,1,9,9.5,0,4.9,6,8,1,1,4,5,9,7,7,0,92,0,9,9.5,0,7.9,5,5,1,9,6,9,3,5,2,0,90,1,9,9.5,0,9.9,5,8,2,8,4,10,10,1,5,0
85,1,80,10,0,8,8.0,1,-0.2,6,10,9,9,2,7,5,6,0,0,43,0,8,8.5,0,6.9,6,4,1,9,4,2,8,2,0,0,39,1,8,9.0,0,5.9,8,1,1,4,5,9,7,7,0,0,92,1,8,8.5,1,-0.2,5,1,9,6,9,3,5,2,0,0,90,1,8,8.5,1,4.8,8,2,8,4,10,10,1,5,0,0
85,2,59,4,0,7,7.5,0,5.9,10,9,9,2,7,5,6,0,0,0,37,0,7,8.0,0,5.9,4,1,9,4,2,8,2,0,0,0,39,1,7,8.0,1,7.8,1,1,4,5,9,7,7,0,0,0,92,1,7,7.5,1,4.8,1,9,6,9,3,5,2,0,0,0,90,0,7,7.5,1,7.8,2,8,4,10,10,1,5,0,0,0
85,3,58,0,0,6,7.0,0,-0.2,9,9,2,7,5,6,0,0,0,0,33,0,6,7.5,0,3.9,1,9,4,2,8,2,0,0,0,0,38,0,6,7.5,0,0.9,1,4,5,9,7,7,0,0,0,0,92,1,6,6.5,1,0.8,9,6,9,3,5,2,0,0,0,0,88,0,6,7.0,0,1.9,8,4,10,10,1,5,0,0,0,0
85,4,49,0,0,5,6.5,0,-0.2,9,2,7,5,6,0,0,0,0,0,32,0,5,7.0,0,0.9,9,4,2,8,2,0,0,0,0,0,37,0,5,7.0,0,0.9,4,5,9,7,7,0,0,0,0,0,92,1,5,5.5,1,8.8,6,9,3,5,2,0,0,0,0,0,80,1,5,6.5,0,7.9,4,10,10,1,5,0,0,0,0,0
85,5,34,0,0,4,5.5,1,-0.2,2,7,5,6,0,0,0,0,0,0,23,0,4,6.5,0,8.9,4,2,8,2,0,0,0,0,0,0,33,0,4,6.5,0,3.9,5,9,7,7,0,0,0,0,0,0,92,1,4,4.5,1,5.8,9,3,5,2,0,0,0,0,0,0,76,1,4,6.0,0,3.9,10,10,1,5,0,0,0,0,0,0
85,6,23,0,0,3,4.5,1,-0.2,7,5,6,0,0,0,0,0,0,0,19,0,3,6.0,0,3.9,2,8,2,0,0,0,0,0,0,0,28,0,3,6.0,0,4.9,9,7,7,0,0,0,0,0,0,0,92,1,3,3.5,1,8.8,3,5,2,0,0,0,0,0,0,0,66,0,3,5.5,0,9.9,10,1,5,0,0,0,0,0,0,0
85,7,14,0,0,2,3.5,1,-0.2,5,6,0,0,0,0,0,0,0,0,19,0,2,5.0,1,-0.2,8,2,0,0,0,0,0,0,0,0,19,1,2,5.5,0,8.9,7,7,0,0,0,0,0,0,0,0,89,1,2,3.0,0,2.9,5,2,0,0,0,0,0,0,0,0,56,0,2,5.0,0,9.9,1,5,0,0,0,0,0,0,0,0
85,8,4,0,0,1,2.5,1,-0.2,6,0,0,0,0,0,0,0,0,0,11,0,1,4.5,0,7.9,2,0,0,0,0,0,0,0,0,0,12,0,1,5.0,0,6.9,7,0,0,0,0,0,0,0,0,0,89,0,1,2.0,1,4.8,2,0,0,0,0,0,0,0,0,0,55,1,1,4.5,0,0.9,5,0,0,0,0,0,0,0,0,0
85,9,0,0,0,0,1.5,1,-0.2,0,0,0,0,0,0,0,0,0,0,9,0,0,4.0,0,1.9,0,0,0,0,0,0,0,0,0,0,5,0,0,4.5,0,6.9,0,0,0,0,0,0,0,0,0,0,89,0,0,1.0,1,-0.2,0,0,0,0,0,0,0,0,0,0,50,1,0,4.0,0,4.9,0,0,0,0,0,0,0,0,0,0
86,0,100,3,1,9,9.5,0,6.9,3,8,6,4,8,9,10,2,6,0,45,0,9,9.5,0,4.9,5,10,3,8,8,5,8,10,8,0,47,0,9,9.5,0,2.9,2,9,2,9,4,2,10,1,4,0,91,1,9,9.5,0,8.9,9,4,9,6,1,10,6,9,2,0,94,1,9,9.5,0,5.9,2,4,8,7,9,7,1,2,6,0
86,1,89,0,1,8,9.0,0,2.9,8,6,4,8,9,10,2,6,0,0,40,1,8,9.0,0,4.9,10,3,8,8,5,8,10,8,0,0,45,0,8,9.0,0,1.9,9,2,9,4,2,10,1,4,0,0,91,1,8,8.5,1,8.8,4,9,6,1,10,6,9,2,0,0,94,1,8,8.5,1,1.8,4,8,7,9,7,1,2,6,0,0
86,2,72,0,1,7,8.0,1,0.0,6,4,8,9,10,2,6,0,0,0,30,1,7,8.5,0,9.9,3,8,8,5,8,10,8,0,0,0,45,0,7,8.0,1,-0.2,2,9,4,2,10,1,4,0,0,0,87,1,7,8.0,0,3.9,9,6,1,10,6,9,2,0,0,0,90,0,7,8.0,0,3.9,8,7,9,7,1,2,6,0,0,0
86,3,57,0,1,6,7.0,1,0.0,4,8,9,10,2,6,0,0,0,0,27,1,6,8.0,0,2.9,8,8,5,8,10,8,0,0,0,0,43,1,6,7.5,0,1.9,9,4,2,10,1,4,0,0,0,0,87,1,6,7.0,1,8.8,6,1,10,6,9,2,0,0,0,0,82,1,6,7.5,0,7.9,7,9,7,1,2,6,0,0,0,0
86,4,38,0,1,5,6.0,1,0.0,8,9,10,2,6,0,0,0,0,0,19,1,5,7.5,0,7.9,8,5,8,10,8,0,0,0,0,0,43,1,5,6.5,1,8.8,4,2,10,1,4,0,0,0,0,0,87,0,5,6.0,1,5.8,1,10,6,9,2,0,0,0,0,0,75,1,5,7.0,0,6.9,9,7,1,2,6,0,0,0,0,0
86,5,29,0,1,4,5.0,1,0.0,9,10,2,6,0,0,0,0,0,0,11,0,4,7.0,0,7.9,5,8,10,8,0,0,0,0,0,0,39,1,4,6.0,0,3.9,2,10,1,4,0,0,0,0,0,0,87,0,4,5.0,1,-0.2,10,6,9,2,0,0,0,0,0,0,66,1,4,6.5,0,8.9,7,1,2,6,0,0,0,0,0,0
86,6,15,0,1,3,4.5,0,-0.2,10,2,6,0,0,0,0,0,0,0,11,0,3,6.0,1,-0.2,8,10,8,0,0,0,0,0,0,0,39,1,3,5.0,1,1.8,10,1,4,0,0,0,0,0,0,0,77,0,3,4.5,0,9.9,6,9,2,0,0,0,0,0,0,0,66,1,3,5.5,1,6.8,1,2,6,0,0,0,0,0,0,0
86,7,0,0,1,2,3.5,1,0.0,2,6,0,0,0,0,0,0,0,0,3,0,2,5.5,0,7.9,10,8,0,0,0,0,0,0,0,0,39,1,2,4.0,1,0.0,1,4,0,0,0,0,0,0,0,0,77,0,2,3.5,1,-0.2,9,2,0,0,0,0,0,0,0,0,65,1,2,5.0,0,0.9,2,6,0,0,0,0,0,0,0,0
86,8,0,0,1,1,2.5,1,0.0,6,0,0,0,0,0,0,0,0,0,3,0,1,4.5,1,-0.2,8,0,0,0,0,0,0,0,0,0,38,1,1,3.5,0,0.9,4,0,0,0,0,0,0,0,0,0,68,0,1,3.0,0,8.9,2,0,0,0,0,0,0,0,0,0,65,1,1,4.0,1,0.0,6,0,0,0,0,0,0,0,0,0
86,9,0,0,1,0,1.5,1,0.0,0,0,0,0,0,0,0,0,0,0,3,0,0,3.5,1,-0.2,0,0,0,0,0,0,0,0,0,0,38,1,0,2.5,1,0.0,0,0,0,0,0,0,0,0,0,0,66,1,0,2.5,0,1.9,0,0,0,0,0,0,0,0,0,0,65,0,0,3.0,1,0.0,0,0,0,0,0,0,0,0,0,0
87,0,95,9,1,9,9.5,0,0.9,7,2,1,2,7,7,10,6,5,0,50,1,9,9.0,1,2.8,3,9,4,9,4,2,4,6,6,0,45,1,9,9.5,0,4.9,1,3,5,6,1,9,3,10,3,0,100,1,9,9.0,1,-0.2,8,3,6,2,7,4,9,10,9,0,93,0,9,9.5,0,6.9,8,3,5,2,10,7,8,9,7,0
87,1,87,9,1,8,8.5,1,6.8,2,1,2,7,7,10,6,5,0,0,47,1,8,8.5,0,2.9,9,4,9,4,2,4,6,6,0,0,45,1,8,8.5,1,0.8,3,5,6,1,9,3,10,3,0,0,92,1,8,8.5,0,7.9,3,6,2,7,4,9,10,9,0,0,85,0,8,9.0,0,7.9,3,5,2,10,7,8,9,7,0,0
87,2,70,9,1,7,7.5,1,1.8,1,2,7,7,10,6,5,0,0,0,47,1,7,7.5,1,8.8,4,9,4,2,4,6,6,0,0,0,42,1,7,8.0,0,2.9,5,6,1,9,3,10,3,0,0,0,92,1,7,7.5,1,2.8,6,2,7,4,9,10,9,0,0,0,85,0,7,8.0,1,-0.2,5,2,10,7,8,9,7,0,0,0
87,3,59,8,1,6,7.0,0,0.9,2,7,7,10,6,5,0,0,0,0,43,0,6,7.0,0,3.9,9,4,2,4,6,6,0,0,0,0,37,1,6,7.5,0,4.9,6,1,9,3,10,3,0,0,0,0,92,1,6,6.5,1,5.8,2,7,4,9,10,9,0,0,0,0,85,0,6,7.0,1,-0.2,2,10,7,8,9,7,0,0,0,0
87,4,42,6,1,5,6.5,0,1.9,7,7,10,6,5,0,0,0,0,0,43,0,5,6.0,1,-0.2,4,2,4,6,6,0,0,0,0,0,37,1,5,6.5,1,5.8,1,9,3,10,3,0,0,0,0,0,92,1,5,5.5,1,1.8,7,4,9,10,9,0,0,0,0,0,83,0,5,6.5,0,1.9,10,7,8,9,7,0,0,0,0,0
87,5,23,6,1,4,5.5,1,0.0,7,10,6,5,0,0,0,0,0,0,43,0,4,5.0,1,-0.2,2,4,6,6,0,0,0,0,0,0,37,1,4,5.5,1,0.8,9,3,10,3,0,0,0,0,0,0,92,0,4,4.5,1,6.8,4,9,10,9,0,0,0,0,0,0,73,1,4,6.0,0,9.9,7,8,9,7,0,0,0,0,0,0
87,6,5,6,1,3,4.5,1,0.0,10,6,5,0,0,0,0,0,0,0,41,0,3,4.5,0,1.9,4,6,6,0,0,0,0,0,0,0,28,1,3,5.0,0,8.9,3,10,3,0,0,0,0,0,0,0,92,0,3,3.5,1,-0.2,9,10,9,0,0,0,0,0,0,0,73,1,3,5.0,1,6.8,8,9,7,0,0,0,0,0,0,0
87,7,0,6,1,2,3.5,1,0.0,6,5,0,0,0,0,0,0,0,0,37,0,2,4.0,0,3.9,6,6,0,0,0,0,0,0,0,0,25,1,2,4.5,0,2.9,10,3,0,0,0,0,0,0,0,0,83,0,2,3.0,0,8.9,10,9,0,0,0,0,0,0,0,0,65,1,2,4.5,0,7.9,9,7,0,0,0,0,0,0,0,0
87,8,0,6,1,1,2.5,1,0.0,5,0,0,0,0,0,0,0,0,0,37,0,1,3.0,1,-0.2,6,0,0,0,0,0,0,0,0,0,15,0,1,4.0,0,9.9,3,0,0,0,0,0,0,0,0,0,83,0,1,2.0,1,-0.2,9,0,0,0,0,0,0,0,0,0,65,1,1,3.5,1,0.0,7,0,0,0,0,0,0,0,0,0
87,9,0,6,1,0,1.5,1,0.0,0,0,0,0,0,0,0,0,0,0,31,1,0,2.5,0,5.9,0,0,0,0,0,0,0,0,0,0,12,0,0,3.5,0,2.9,0,0,0,0,0,0,0,0,0,0,83,0,0,1.0,1,-0.2,0,0,0,0,0,0,0,0,0,0,65,1,0,2.5,1,0.0,0,0,0,0,0,0,0,0,0,0
